date,assets_proxy_usd
2024-06-08 00:00:00,2945417672.0
2024-06-09 00:00:00,2948183459.0
2024-06-10 00:00:00,2973680860.0
2024-06-11 00:00:00,2956218670.0
2024-06-12 00:00:00,2823742396.0
2024-06-13 00:00:00,2871350587.0
2024-06-14 00:00:00,2789713011.0
2024-06-15 00:00:00,2793885203.0
2024-06-16 00:00:00,2856462458.0
2024-06-17 00:00:00,2900797556.0
2024-06-18 00:00:00,2845304909.0
2024-06-19 00:00:00,2818532241.0
2024-06-20 00:00:00,2875608833.0
2024-06-21 00:00:00,2846433835.0
2024-06-22 00:00:00,2838859247.0
2024-06-23 00:00:00,2797162898.0
2024-06-24 00:00:00,2739918671.0
2024-06-25 00:00:00,2703613998.0
2024-06-26 00:00:00,2755792079.0
2024-06-27 00:00:00,2952198681.0
2024-06-28 00:00:00,3005101812.0
2024-06-29 00:00:00,2977379226.0
2024-06-30 00:00:00,2978943628.0
2024-07-01 00:00:00,3232250454.0
2024-07-02 00:00:00,3001803351.0
2024-07-03 00:00:00,3005411497.0
2024-07-04 00:00:00,2909876418.0
2024-07-05 00:00:00,2692000420.0
2024-07-06 00:00:00,2645155997.0
2024-07-07 00:00:00,2725359296.0
2024-07-08 00:00:00,2604247982.0
2024-07-09 00:00:00,2666228745.0
2024-07-10 00:00:00,2705244501.0
2024-07-11 00:00:00,2739365855.0
2024-07-12 00:00:00,2742205012.0
2024-07-13 00:00:00,2737827752.0
2024-07-14 00:00:00,2779804051.0
2024-07-15 00:00:00,2826991671.0
2024-07-16 00:00:00,3032487553.0
2024-07-17 00:00:00,3003202854.0
2024-07-18 00:00:00,2975288800.0
2024-07-19 00:00:00,2983092972.0
2024-07-20 00:00:00,3053351941.0
2024-07-21 00:00:00,3078070826.0
2024-07-22 00:00:00,3065136792.0
2024-07-23 00:00:00,3006665471.0
2024-07-24 00:00:00,3055527516.0
2024-07-25 00:00:00,3019724267.0
2024-07-26 00:00:00,2909934926.0
2024-07-27 00:00:00,3004936180.0
2024-07-28 00:00:00,2985226983.0
2024-07-29 00:00:00,2980540525.0
2024-07-30 00:00:00,3000260856.0
2024-07-31 00:00:00,2980904254.0
2024-08-01 00:00:00,2960051017.0
2024-08-02 00:00:00,2944171620.0
2024-08-03 00:00:00,2674992994.0
2024-08-04 00:00:00,2632969596.0
2024-08-05 00:00:00,2455231689.0
2024-08-06 00:00:00,2365599079.0
2024-08-07 00:00:00,2382088848.0
2024-08-08 00:00:00,2278013188.0
2024-08-09 00:00:00,2582902177.0
2024-08-10 00:00:00,2474255075.0
2024-08-11 00:00:00,2513976060.0
2024-08-12 00:00:00,2436289309.0
2024-08-13 00:00:00,2588133337.0
2024-08-14 00:00:00,2585592905.0
2024-08-15 00:00:00,2510047611.0
2024-08-16 00:00:00,2414726640.0
2024-08-17 00:00:00,2443778829.0
2024-08-18 00:00:00,2460678045.0
2024-08-19 00:00:00,2434180741.0
2024-08-20 00:00:00,2447766605.0
2024-08-21 00:00:00,2410274008.0
2024-08-22 00:00:00,2486466370.0
2024-08-23 00:00:00,2488294693.0
